ContractRole;Comment;SubAccount;NotionalPrincipal;ContractType;NominalInterestRate;PremiumDiscountAtIED;StatusDate;ContractDealDate;InitialExchangeDate;MaturityDate;CycleAnchorDateOfPrincipalRedemption;CycleOfPrincipalRedemption;CycleOfRateReset;RateSpread;MarketObjectCodeRateReset;LegalEntityIDRecordCreator;ContractID;LegalEntityIDCounterparty;CycleAnchorDateOfInterestPayment;CycleOfInterestPayment;ArrayCycleAnchorDateOfInterestPayment;ArrayCycleOfInterestPayment;DayCountConvention;AccruedInterest;CapitalizationEndDate;CycleAnchorDateOfInterestCalculationBase;CycleOfInterestCalculationBase;InterestCalculationBase;InterestCalculationBaseAmount;CyclePointOfInterestPayment;Currency;AmortizationDate;NextPrincipalRedemptionPayment;ArrayCycleAnchorDateOfPrincipalRedemption;ArrayCycleOfPrincipalRedemption;ArrayNextPrincipalRedemptionPayment;ArrayIncreaseDecrease;PurchaseDate;PriceAtPurchaseDate;TerminationDate;PriceAtTerminationDate;MarketObjectCodeOfScalingIndex;ScalingIndexAtStatusDate;CycleAnchorDateOfScalingIndex;CycleOfScalingIndex;ScalingEffect;CycleAnchorDateOfRateReset;ArrayCycleAnchorDateOfRateReset;ArrayCycleOfRateReset;ArrayRate;ArrayFixedVariable;CyclePointOfRateReset;FixingDays;NextResetRate;RateMultiplier;RateTerm;Calendar;BusinessDayConvention;EndOfMonthConvention;DeliverySettlement;DiscountingSpread;RiskFactorObjektLink;Valuation_Engine;Valuation_RiskFactorObjektLink;Valuation_DiscountingSpread
RPL;Sparkonto;SavingAccount;550000;PAM;0.005;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2048-01-01T00;NA;NA;NULL;0;NULL;213800QILIUD4ROSUO03;97576398a76f;Privatkunde_1;NULL;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
RPL;Sparkonto;SavingAccount;350000;PAM;0.002;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2042-01-01T00;NA;NA;NULL;0;NULL;213800QILIUD4ROSUO03;e6ff0d043c6d;Privatkunde_2;NULL;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
RPA;Anleihe;Loan.A;200000;PAM;0.02;0;2018-01-01T00;2017-07-01T00;2017-07-01T00;2019-07-01T00;NA;NA;NULL;0;NULL;213800QILIUD4ROSUO03;955c768403b0;391200BODWBDLTH1TS43;NULL;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.01
RPA;Hypothek ohne Amortisation;Mortgage;600000;PAM;0.02;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2038-01-01T00;NA;NA;1M-;0.01;YC_ECB;213800QILIUD4ROSUO03;a4cd14fcc6ce;Privatkunde_3;2018-02-01T00;1M-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.02
RPA;Hypothek mit Amortisation;Mortgage;400000;ANN;0.027;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2038-01-01T00;2018-02-01T00;1M-;NULL;0;NULL;213800QILIUD4ROSUO03;6083c6d62532;Privatkunde_4;NULL;1M-;NA;NA;30E/360;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.01
RPA;Hypothek mit Linearer Amortisation;Mortgage;100000;LAM;0.025;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2038-01-01T00;2018-02-01T00;1M-;NULL;0;NULL;213800QILIUD4ROSUO03;6d4fc2325ad7;Privatkunde_5;NULL;1M-;NA;NA;30E/360;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NA;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.03
RPL;Anleihe;Loan.L;300000;PAM;0.02;0;2018-01-01T00;2017-07-01T00;2017-07-01T00;2019-07-01T00;NA;NA;NULL;0;NULL;213800QILIUD4ROSUO03;74c95b6dc08d;529900HNOAA1KXQJUQ27;NULL;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.01
RFL;Swap;Swap.RFL;-999999999;SWAPS;-999999999;0;2017-12-30T00;2017-12-28T00;NULL;NULL;NULL;NULL;NULL;-999999999;NULL;213800QILIUD4ROSUO03;9ee18b04f97a;391200BODWBDLTH1TS43;NULL;NULL;NA;NA;NULL;-999999999;NULL;NULL;NULL;NULL;-999999999;NULL;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;NULL;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;D;0;YC_ECB;Discounting;YC_ECB;0
RPA;Swap_C1;NA;1000;PAM;0.01;0;2017-12-30T00;2017-12-28T00;2018-01-01T00;2019-01-01T00;NULL;NULL;NULL;0;NULL;213800QILIUD4ROSUO03;9ee18b04f97a_C1;391200BODWBDLTH1TS43;2018-02-01T00;1M-;NA;NA;A/365;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
RPL;Swap_C2;NA;1000;PAM;0.02;0;2017-12-30T00;2017-12-28T00;2018-01-01T00;2019-01-01T00;NULL;NULL;NULL;0;NULL;213800QILIUD4ROSUO03;9ee18b04f97a_C2;391200BODWBDLTH1TS43;2018-02-01T00;1Q-;NA;NA;A/365;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
