ContractRole;Comment;SubAccount;NotionalPrincipal;ContractType;NominalInterestRate;PremiumDiscountAtIED;StatusDate;ContractDealDate;InitialExchangeDate;MaturityDate;CycleAnchorDateOfPrincipalRedemption;CycleOfPrincipalRedemption;CycleOfRateReset;RateSpread;MarketObjectCodeRateReset;LegalEntityIDRecordCreator;ContractID;LegalEntityIDCounterparty;CycleAnchorDateOfInterestPayment;CycleOfInterestPayment;ArrayCycleAnchorDateOfInterestPayment;ArrayCycleOfInterestPayment;DayCountConvention;AccruedInterest;CapitalizationEndDate;CycleAnchorDateOfInterestCalculationBase;CycleOfInterestCalculationBase;InterestCalculationBase;InterestCalculationBaseAmount;CyclePointOfInterestPayment;Currency;AmortizationDate;NextPrincipalRedemptionPayment;ArrayCycleAnchorDateOfPrincipalRedemption;ArrayCycleOfPrincipalRedemption;ArrayNextPrincipalRedemptionPayment;ArrayIncreaseDecrease;PurchaseDate;PriceAtPurchaseDate;TerminationDate;PriceAtTerminationDate;MarketObjectCodeOfScalingIndex;ScalingIndexAtStatusDate;CycleAnchorDateOfScalingIndex;CycleOfScalingIndex;ScalingEffect;CycleAnchorDateOfRateReset;ArrayCycleAnchorDateOfRateReset;ArrayCycleOfRateReset;ArrayRate;ArrayFixedVariable;CyclePointOfRateReset;FixingDays;NextResetRate;RateMultiplier;RateTerm;Calendar;BusinessDayConvention;EndOfMonthConvention;DeliverySettlement;DiscountingSpread;RiskFactorObjektLink;Valuation_Engine;Valuation_RiskFactorObjektLink;Valuation_DiscountingSpread
RPL;Sparkonto;SavingAccount;550000;PAM;0.005;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2048-01-01T00;NA;NA;NULL;0;NULL;529900HNOAA1KXQJUQ27;4e4e62fe1abf;Privatkunde_1;NULL;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
RPL;Sparkonto;SavingAccount;350000;PAM;0.002;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2042-01-01T00;NA;NA;NULL;0;NULL;529900HNOAA1KXQJUQ27;8efd3eb6f651;Privatkunde_2;NULL;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
RPA;Hypothek ohne Amortisation;Mortgage;600000;PAM;0.02;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2038-01-01T00;NA;NA;1M-;0.01;YC_ECB;529900HNOAA1KXQJUQ27;bd843daa0ca4;Privatkunde_3;2018-02-01T00;1M-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.01
RPA;Hypothek mit Amortisation;Mortgage;300000;ANN;0.027;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2038-01-01T00;2018-02-01T00;1M-;NULL;0;NULL;529900HNOAA1KXQJUQ27;a194de05a8f5;Privatkunde_4;NULL;1M-;NA;NA;30E/360;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.03
RPA;Hypothek mit Linearer Amortisation;Mortgage;100000;LAM;0.025;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2038-01-01T00;2018-02-01T00;1M-;NULL;0;NULL;529900HNOAA1KXQJUQ27;8fce43fa2db6;Privatkunde_5;NULL;1M-;NA;NA;30E/360;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NA;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.03
RPL;Anleihe;Loan.L;300000;PAM;0.025;0;2018-01-01T00;2018-01-01T00;2018-01-01T00;2021-01-01T00;NA;NA;1Y-;0;YC_ECB;529900HNOAA1KXQJUQ27;9778dded0440;391200BODWBDLTH1TS43;2019-01-01T00;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.01
RPA;Anleihe;Loan.A;300000;PAM;0.02;0;2018-01-01T00;2017-07-01T00;2017-07-01T00;2019-07-01T00;NA;NA;NULL;0;NULL;529900HNOAA1KXQJUQ27;74c95b6dc08d;213800QILIUD4ROSUO03;NULL;1Y-;NA;NA;30E/360;-999999999;NULL;NA;NA;NA;NA;EndOf;EUR;NA;NA;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;NULL;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0.01
RFL;Swap;Swap.RFL;-999999999;SWAPS;-999999999;0;2017-12-30T00;2017-12-28T00;NULL;NULL;NULL;NULL;NULL;-999999999;NULL;529900HNOAA1KXQJUQ27;a7a1f62c6224;213800QILIUD4ROSUO03;NULL;NULL;NA;NA;NULL;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;NULL;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;D;0;YC_ECB;Discounting;YC_ECB;0
RPL;Swap_C1;NA;1000;PAM;0.01;0;2017-12-30T00;2017-12-28T00;2018-01-01T00;2019-01-01T00;NULL;NULL;NULL;0;NULL;529900HNOAA1KXQJUQ27;a7a1f62c6224_C1;213800QILIUD4ROSUO03;2018-02-01T00;1M-;NA;NA;A/365;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;NULL;NA;NA;NA;NA;BeginningOf;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
RPA;Swap_C2;NA;1000;PAM;0.01;0;2017-12-30T00;2017-12-28T00;2018-01-01T00;2019-01-01T00;NULL;NULL;1M-;0.02;YC_ECB;529900HNOAA1KXQJUQ27;a7a1f62c6224_C2;213800QILIUD4ROSUO03;2018-02-01T00;1M-;NA;NA;A/365;-999999999;NULL;NULL;NULL;NULL;-999999999;EndOf;EUR;NULL;-999999999;NA;NA;NA;NA;NULL;-999999999;NULL;-999999999;NULL;-999999999;NULL;NULL;NULL;2018-02-01T00;NA;NA;NA;NA;BeginningOf;0D;-999999999;1;NULL;NOCALENDAR;NULL;SD;NULL;0;YC_ECB;Discounting;YC_ECB;0
